Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,2.182,2.364,Hai phương pháp gần nhau.
cross-doc,Faithfulness,2.091,2.545,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,2.273,2.273,Hai phương pháp gần nhau.
cross-doc,Latency (s),4.026,3.063,GraphRAG không đắt hơn trong sample này.
cross-doc,Token usage,769.455,853.182,Flat RAG thường rẻ/nhanh hơn.
factoid,Comprehensiveness,1.5,1.5,Hai phương pháp gần nhau.
factoid,Faithfulness,3.0,3.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,3.0,3.0,Hai phương pháp gần nhau.
factoid,Latency (s),6.255,3.599,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,728.0,558.5,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,1.083,3.167,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
multi-hop,Faithfulness,1.083,3.833,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
multi-hop,Multi-hop reasoning,1.083,3.167,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
multi-hop,Latency (s),5.206,5.261,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Token usage,771.083,1128.75,Flat RAG thường rẻ/nhanh hơn.
