id,name,type,degree
909fcd9c188c8c2429afa468,Google Cloud,Company,7
ebdd5c068d86eb4755b76b89,big data system and cloud platform,Technology,5
773eeb9b7cc008bff365fcdd,OpenAI,Company,4
879eef50f3e2d235cccb1790,Snowflake,Company,3
1728ebbc40b86a7b0169c353,White House,Company,3
0a6497f72474d72d5cf500bc,managing artificial intelligence,Technology,3
3a0b9f171c10cd7d231f96d0,H2O AI Cloud,Technology,2
2315579021290a5a48a3fb30,Cohere technology,Technology,2
73772de334870c1d90f33658,Dell NativeEdge,Technology,2
51e33a1bf5fff64b108c76e6,Hewlett Packard Enterprise,Company,2
35c663762dedf469a841fdb9,Dell Technologies Inc.,Company,2
68b3544368862fc263941c8d,Amazon,Company,2
2ee142c84a52210f0a8e6ada,Manufacturing Data Cloud,Technology,2
681006bc70d2b14804e79e11,IBM,Company,2
fd90caf986a66450a7dd026b,Intel,Company,2
